reaction_nm	reaction_des	reaction_idx
3hoxpactex	3 hydroxyphenylacetic acid transport via diffusion extracellular to periplasm 	2213
3PGtex	3 Phospho D glycerate transport via diffusion extracellular to periplasm 	2218
4HBALDtex	4-hydroxybenzaldehyde transport via diffusion (extracellular to periplasm)	2223
4HBAtex	4-hydroxy-benzyl alcohol transport via diffusion (extracellular to periplasm)	2224
5DGLCNtex	5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)	2230
ACONCtex	Cisaconitat transport via diffusion extracellular to periplasm 	2235
AKGtex	Alpha-ketoglutarate transport via diffusion (extracellular to periplasm)	2246
ALLTNtex	Allantoin transport via diffusion (extracellular to periplasm)	2252
ARBTtex	Arbutin transport via diffusion (extracellular to periplasm)	2258
BTOHtex	Butanol transport via diffusion (extracellular to periplasm)	2263
CLBtex	Cellobiose transport transport via diffusion extracellular to periplasm 	2277
CRNtex	L-carnitine transport via diffusion (extracellular to periplasm)	2287
CUtex	Copper (Cu+1) transport via diffusion (extracellular to periplasm)	2290
DAPtex	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	2294
DDGLCNtex	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	2295
DHAtex	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	2297
D_LACtex	D-lactate transport via diffusion (extracellular to periplasm)	2304
DOPAtex	Dopamine transport via diffusion (extracellular to periplasm)	2305
DRIBtex	Deoxyribose transport via diffusion extracellular to periplasm 	2307
ENLIPAabctex	Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular)	2312
FUCtex	L-fucose transport via diffusion (extracellular to periplasm)	2334
GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	2338
GALTtex	Galactitol transport via diffusion (extracellular to periplasm)	2341
GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)	2342
GBBTNtex	Gamma-butyrobetaine transport via diffusion (extracellular to periplasm)	2344
GLCRtex	D-glucarate transport via diffusion (extracellular to periplasm)	2346
GLYALDtex	Glyceraldehyde transport via diffusion (extracellular to periplasm)	2350
GLYBtex	Glycine betaine transport via diffusion (extracellular to periplasm)	2354
GLYCAtex	D-glycerate transport via diffusion (extracellular to periplasm)	2355
GM1LIPAabctex	G. metallireducens core lipid A transport via ABC system (periplasm to extracellular)	2358
HCINNMtex	3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)	2364
HCO3tex	Bicarbonate transport via diffusion (extracellular to periplasm)	2365
HG2tex	Mercury (Hg+2) transport via diffusion (extracellular to periplasm)	2370
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	2377
ICITtex	Citrate transport via diffusion extracellular to periplasm 	2379
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)	2380
MALTtexi	MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	2394
PHEtex	L-phenylalanine transport via diffusion (extracellular to periplasm)	2430
RAFFtex	Raffinose transport transport via diffusion extracellular to periplasm 	2451
SALCHSXtex	Salmochelin SX via diffusion extracellular to periplasm 	2460
SALCNtex	Salicin transport transport via diffusion extracellular to periplasm 	2462
TRPtex	L-tryptophan transport via diffusion (extracellular to periplasm)	2480
XANtex	Xanthine transport via diffusion (extracellular to periplasm)	2492
THMtex	Thiamine transport via diffusion (extracellular to periplasm)	2640
ACOLIPAabctex	Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	2669
BUTSO3tex	Butanesulfonate transport via diffusion (extracellular to periplasm)	2678
ETHSO3tex	Ethanesulfonate transport via diffusion (extracellular to periplasm)	2682
IBTtex	Isobutyrate transport via diffusion (extracellular to periplasm)	2694
ISETACtex	Isethionate transport via diffusion (extracellular to periplasm)	2697
SULFACtex	Sulfoaceate transport via diffusion (extracellular to periplasm)	2707
GM2LIPAabctex	G. metallireducens core lipid A transport via ABC system (periplasm to extracellular)	2910
LCYSTtex	L-cysteate transport via ABC system  (extracellular to periplasm)	2951
MALTHXtexi	Maltohexaose transport via diffusion (extracellular to periplasm) irreversible	2961
14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	3113
PPOHtex	Propanol transport via diffusion (extracellular to periplasm)	3166
LIPOtex	Lipoate transport via diffusion (extracellular to periplasm)	3313
MALTPTtexi	MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	3315
MALTTRtexi	Maltotriose transport via diffusion (extracellular to periplasm) irreversible	3317
MALTTTRtexi	MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	3319
SKMtex	Shikimate transport via diffusion (extracellular to periplasm)	3356
CRO4tex	Cromate transport via diffusion (extracellular to periplasm)	3420
URAtex	Uracil transport via diffusion (extracellular to periplasm)	3548
3HPPtex	3-hydroxypropionate transport via diffusion (extracellular to periplasm)	3554
FEROXEFEtex	Ferrioxamine E fe transport via diffusion extracellular to periplasm 	3567
FEROXEtex	Ferrioxamine E transport via diffusion extracellular to periplasm 	3568
